# Generated from IMDb datasets (https://datasets.imdbws.com/) by
# tools/make-curated-lists.py. Do not edit by hand; re-run the tool.
#top_movies	IMDb Top Rated Movies	The highest rated films of all time
The Shawshank Redemption	1994	M
The Godfather	1972	M
The Dark Knight	2008	M
The Chaos Class	1975	M
The Lord of the Rings: The Return of the King	2003	M
Schindler's List	1993	M
The Godfather Part II	1974	M
12 Angry Men	1957	M
The Lord of the Rings: The Fellowship of the Ring	2001	M
Attack on Titan: The Last Attack	2024	M
David Attenborough: A Life on Our Planet	2020	M
Tosun Pasha	1976	M
Inception	2010	M
Fight Club	1999	M
Forrest Gump	1994	M
Pulp Fiction	1994	M
The Lord of the Rings: The Two Towers	2002	M
The Good, the Bad and the Ugly	1966	M
Punjab '95	2026	M
Mirror Game	2016	M
Interstellar	2014	M
The Matrix	1999	M
Star Wars: Episode V - The Empire Strikes Back	1980	M
GoodFellas	1990	M
12th Fail	2023	M
Kill Bill: The Whole Bloody Affair	2004	M
777 Charlie	2022	M
Seven	1995	M
The Silence of the Lambs	1991	M
Saving Private Ryan	1998	M
Star Wars: Episode IV - A New Hope	1977	M
The Green Mile	1999	M
Terminator 2: Judgment Day	1991	M
One Flew Over the Cuckoo's Nest	1975	M
Spirited Away	2001	M
City of God	2002	M
Life Is Beautiful	1997	M
It's a Wonderful Life	1946	M
Seven Samurai	1954	M
Jai Bhim	2021	M
Soorarai Pottru	2020	M
Harakiri	1962	M
20 Days in Mariupol	2023	M
Rocketry: The Nambi Effect	2022	M
Anbe Sivam	2003	M
Nayakan	1987	M
Django Unchained	2012	M
Gladiator	2000	M
The Prestige	2006	M
The Departed	2006	M
Back to the Future	1985	M
Léon: The Professional	1994	M
American History X	1998	M
The Lion King	1994	M
The Usual Suspects	1995	M
Parasite	2019	M
Whiplash	2014	M
The Intouchables	2011	M
The Pianist	2002	M
Psycho	1960	M
#most_watched	Most Watched Movies	The films the most people have rated
The Shawshank Redemption	1994	M
The Dark Knight	2008	M
Inception	2010	M
Fight Club	1999	M
Interstellar	2014	M
Forrest Gump	1994	M
Pulp Fiction	1994	M
The Matrix	1999	M
The Godfather	1972	M
The Lord of the Rings: The Fellowship of the Ring	2001	M
The Lord of the Rings: The Return of the King	2003	M
Seven	1995	M
The Dark Knight Rises	2012	M
The Lord of the Rings: The Two Towers	2002	M
Django Unchained	2012	M
Gladiator	2000	M
The Wolf of Wall Street	2013	M
Inglourious Basterds	2009	M
The Silence of the Lambs	1991	M
Batman Begins	2005	M
Joker	2019	M
Shutter Island	2010	M
Saving Private Ryan	1998	M
The Prestige	2006	M
Schindler's List	1993	M
Star Wars: Episode IV - A New Hope	1977	M
The Green Mile	1999	M
The Avengers	2012	M
The Departed	2006	M
