# Generated from IMDb datasets (https://datasets.imdbws.com/) by
# tools/make-title-index.py. Do not edit by hand; re-run the tool.
Time Team	1994	S	8.6	2000	Documentary,History	tt0108961
Punar Vivaah: Zindagi Milegi Dobara	2012	S	3.4	2000	Drama	tt2942416
Ant & Dec's Saturday Night Takeaway	2002	S	6.1	2001	Comedy,Game-Show	tt0324692
This England	2022	S	6.7	2001	Biography,Drama,History	tt12594678
Chef's Table: France	2016	S	8.2	2001	Documentary	tt6088326
Quartet	2017	S	7.8	2001	Comedy,Drama,Music	tt6287398
The Phantom of the Opera	1990	S	7.4	2002	Drama,Music,Mystery	tt0100361
Am I Actually the Strongest?	2023	S	6.4	2002	Adventure,Animation,Fantasy	tt28254867
Terrace House: Boys & Girls in the City	2015	S	8.0	2002	Drama,Reality-TV	tt4790546
Dominion Tank Police	1988	S	6.8	2003	Action,Animation,Comedy	tt0158591
Brum	1991	S	6.2	2004	Action,Adventure,Animation	tt0217177
42 Days of Darkness	2022	S	6.5	2004	Crime,Drama,Mystery	tt15090462
Get Organized with the Home Edit	2020	S	5.6	2005	Reality-TV	tt10834478
The Gulf	2019	S	6.8	2005	Crime	tt9855482
Monty Python: Almost the Truth - The Lawyer's Cut	2009	S	8.1	2006	Biography,Documentary	tt1422182
I'm Quitting Heroing	2022	S	6.6	2006	Action,Adventure,Animation	tt15723722
Morran och Tobias	2014	S	7.5	2006	Comedy,Short	tt4182272
Back in the Game	2013	S	6.3	2008	Comedy	tt2655470
Thunderbirds Are Go	2015	S	6.9	2008	Action,Adventure,Animation	tt3138604
Ten Days in the Valley	2017	S	6.3	2008	Drama,Mystery,Thriller	tt6461706
In Your Radiant Season	2026	S	8.0	2009	Comedy,Drama,Mystery	tt39369595
Rupert	1991	S	7.0	2010	Adventure,Animation,Family	tt0155445
The Interest of Love	2022	S	6.5	2010	Drama,Romance	tt24224910
Reilly: Ace of Spies	1983	S	8.2	2011	Crime,Drama,History	tt0085077
Crni Gruja	2003	S	8.3	2011	Comedy	tt0375289
The Business of Drugs	2020	S	7.2	2011	Documentary	tt12588416
Bestseller	2022	S	6.1	2011	Drama,Thriller	tt17500926
The Secret Life of Marilyn Monroe	2015	S	6.8	2011	Biography	tt4067076
Dramaworld	2016	S	7.3	2011	Comedy,Drama,Fantasy	tt5468694
Raising the Bar	2008	S	7.3	2012	Drama	tt1001558
Threesome	2021	S	7.0	2012	Drama	tt13839098
Straight to Hell	2026	S	7.7	2012	Biography,Drama,History	tt38337374
The Rise of Phoenixes	2018	S	8.4	2012	Drama,History,Romance	tt7052634
Initial D: Fourth Stage	2004	S	8.2	2013	Action,Animation,Romance	tt0389644
Kono Oto Tomare!	2019	S	8.1	2013	Animation,Drama,Music	tt9886006
The Layover	2011	S	8.2	2014	Documentary	tt2131368
Alemin Kirali	2011	S	4.1	2015	Comedy	tt2393012
We Are	2024	S	8.1	2015	Comedy,Drama,Romance	tt29768087
Crossing Swords	2020	S	6.8	2015	Animation,Comedy,Fantasy	tt8777690
Gosick	2011	S	7.3	2016	Animation,Comedy,Crime	tt1872328
Mobile Suit Zeta Gundam	1985	S	8.0	2017	Action,Animation,Drama	tt0159186
Smith	2006	S	7.8	2017	Crime,Drama,Thriller	tt0805667
La Fortuna	2021	S	6.5	2017	Adventure,Thriller	tt10714778
Ek Duje Ke Vaaste 2	2020	S	8.7	2017	Romance	tt11820524
Six Schizophrenic Brothers	2024	S	7.1	2017	Documentary	tt28959491
There She Goes	2018	S	8.2	2017	Drama	tt8594496
Here's Lucy	1968	S	6.9	2018	Comedy	tt0062570
Voyagers!	1982	S	8.0	2018	Adventure,Family,Sci-Fi	tt0083500
Shaq	2022	S	7.7	2018	Biography,Documentary,Sport	tt22876148
O Negócio	2013	S	7.9	2018	Comedy,Drama	tt2650940
The IMDb Show	2017	S	6.2	2018	Talk-Show	tt7549864
Wok of Love	2018	S	7.5	2018	Comedy,Romance	tt8236528
Wow! Wow! Wubbzy!	2006	S	6.4	2019	Animation,Family,Fantasy	tt0762067
King of Stonks	2022	S	6.7	2019	Comedy,Drama,Thriller	tt15407486
Inu x Boku Secret Service	2012	S	7.0	2020	Animation,Comedy,Romance	tt2196757
EXO Next Door	2015	S	7.0	2020	Comedy,Drama,Romance	tt4775200
Cribs	2000	S	5.2	2021	Music,Reality-TV	tt0276656
Once Upon a Time... Space	1982	S	7.5	2021	Adventure,Animation,Family	tt0282303
30 Days	2005	S	7.9	2021	Documentary,Reality-TV	tt0437696
The Kingdoms of Ruin	2023	S	6.2	2021	Action,Animation,Drama	tt28774702
Paranormal Lockdown	2016	S	7.1	2021	Reality-TV	tt5512658
Spriggan	2022	S	6.8	2022	Action,Adventure,Animation	tt10011306
Melekler Korusun	2009	S	5.2	2022	Comedy,Drama,Romance	tt1448226
Malibu Country	2012	S	6.1	2022	Comedy	tt2215291
Fact or Faked: Paranormal Files	2010	S	6.3	2023	Documentary,Sci-Fi	tt1690621
Pavitra Rishta	2009	S	6.4	2023	Drama,Romance	tt2282359
Owning Manhattan	2024	S	7.3	2023	Reality-TV	tt32460481
Kiss Him, Not Me!	2016	S	6.5	2023	Animation,Comedy,Drama	tt5879454
X	2001	S	7.4	2024	Action,Animation,Drama	tt0312258
Knutby	2021	S	6.9	2024	Crime,Drama	tt15381144
23.5	2024	S	8.0	2025	Comedy,Romance	tt24657706
Well-Intended Love	2019	S	7.1	2025	Comedy,Drama,Romance	tt9886950
My Daddy Long Legs	1990	S	8.1	2026	Animation,Comedy,Drama	tt0168436
